Strength,Racial_Group,Gender,Category,Letters,Mean_per300,SD_per300,CI_lower,CI_upper
Strong,Hispanic/Latinx,Nonbinary,standout,320,2.7016,1.2717,2.5617,2.8415
Strong,Hispanic/Latinx,Nonbinary,ability,320,1.8935,1.3883,1.7408,2.0462
Strong,Hispanic/Latinx,Nonbinary,grindstone,320,1.0562,0.9906,0.9473,1.1652
Strong,Hispanic/Latinx,Nonbinary,communal,320,6.9341,1.7968,6.7364,7.1317
Strong,Hispanic/Latinx,Nonbinary,agentic,320,6.644,1.9072,6.4342,6.8537
Strong,Hispanic/Latinx,Nonbinary,competitive,320,3.4483,1.5944,3.273,3.6237
Strong,White,Female,standout,320,2.8133,1.2913,2.6713,2.9554
Strong,White,Female,ability,320,2.064,1.4451,1.9051,2.223
Strong,White,Female,grindstone,320,1.2628,1.0897,1.1429,1.3826
Strong,White,Female,communal,320,6.4769,1.6248,6.2982,6.6556
Strong,White,Female,agentic,320,6.7964,1.9018,6.5872,7.0056
Strong,White,Female,competitive,320,3.7242,1.6415,3.5436,3.9047
Strong,White,Male,standout,320,2.5778,1.3702,2.4271,2.7285
Strong,White,Male,ability,320,2.0097,1.5239,1.8421,2.1773
Strong,White,Male,grindstone,320,1.424,1.087,1.3044,1.5435
Strong,White,Male,communal,320,6.6476,1.7314,6.4572,6.8381
Strong,White,Male,agentic,320,6.8937,2.0451,6.6688,7.1186
Strong,White,Male,competitive,320,3.7677,1.7086,3.5798,3.9556
Strong,White,Nonbinary,standout,320,2.6388,1.2025,2.5066,2.7711
Strong,White,Nonbinary,ability,320,1.9489,1.4459,1.7899,2.1079
Strong,White,Nonbinary,grindstone,320,1.1319,0.9919,1.0228,1.241
Strong,White,Nonbinary,communal,320,6.8308,1.7641,6.6368,7.0248
Strong,White,Nonbinary,agentic,320,6.6434,1.9294,6.4312,6.8556
Strong,White,Nonbinary,competitive,320,3.4846,1.6319,3.3051,3.6641
Moderate,Asian,Female,standout,320,1.4571,1.112,1.3348,1.5794
Moderate,Asian,Female,ability,320,2.147,1.601,1.9709,2.3231
Moderate,Asian,Female,grindstone,320,2.0765,1.5673,1.9042,2.2489
Moderate,Asian,Female,communal,320,5.2723,1.8947,5.064,5.4807
Moderate,Asian,Female,agentic,320,6.6457,1.9942,6.4263,6.865
Moderate,Asian,Female,competitive,320,2.8079,1.5215,2.6406,2.9753
Moderate,Asian,Male,standout,320,1.3856,1.0865,1.2661,1.5051
Moderate,Asian,Male,ability,320,2.1373,1.6134,1.9599,2.3147
Moderate,Asian,Male,grindstone,320,1.9056,1.5127,1.7393,2.072
Moderate,Asian,Male,communal,320,5.2569,1.8913,5.0489,5.4649
Moderate,Asian,Male,agentic,320,6.5757,1.9016,6.3666,6.7849
Moderate,Asian,Male,competitive,320,2.7889,1.5478,2.6187,2.9591
Moderate,Asian,Nonbinary,standout,320,1.5033,1.1976,1.3716,1.635
Moderate,Asian,Nonbinary,ability,320,2.2586,1.6302,2.0793,2.4379
Moderate,Asian,Nonbinary,grindstone,320,1.4941,1.2317,1.3586,1.6296
Moderate,Asian,Nonbinary,communal,320,5.4131,1.8716,5.2073,5.6189
Moderate,Asian,Nonbinary,agentic,320,6.3343,2.0207,6.112,6.5565
Moderate,Asian,Nonbinary,competitive,320,2.7865,1.5632,2.6145,2.9584
Moderate,Black,Female,standout,320,1.5176,1.1409,1.3921,1.643
Moderate,Black,Female,ability,320,2.02,1.5918,1.8449,2.1951
Moderate,Black,Female,grindstone,320,2.0998,1.4448,1.9409,2.2587
Moderate,Black,Female,communal,320,5.0605,1.8679,4.855,5.2659
Moderate,Black,Female,agentic,320,6.8429,1.8629,6.638,7.0478
Moderate,Black,Female,competitive,320,3.1242,1.6202,2.946,3.3024
Moderate,Black,Male,standout,320,1.5029,1.059,1.3864,1.6194
Moderate,Black,Male,ability,320,2.171,1.6369,1.991,2.351
Moderate,Black,Male,grindstone,320,1.6785,1.3637,1.5285,1.8285
Moderate,Black,Male,communal,320,4.8,1.8322,4.5985,5.0015
Moderate,Black,Male,agentic,320,6.3563,1.7868,6.1597,6.5528
Moderate,Black,Male,competitive,320,2.7349,1.4759,2.5725,2.8972
Moderate,Black,Nonbinary,standout,320,1.4851,1.1922,1.3539,1.6162
Moderate,Black,Nonbinary,ability,320,2.2792,1.6307,2.0998,2.4585
Moderate,Black,Nonbinary,grindstone,320,1.5519,1.2613,1.4132,1.6906
Moderate,Black,Nonbinary,communal,320,5.41,1.96,5.1945,5.6256
Moderate,Black,Nonbinary,agentic,320,6.7448,1.9658,6.5286,6.961
Moderate,Black,Nonbinary,competitive,320,2.8436,1.7501,2.6511,3.0361
Moderate,Hawaiian/Pacific Islander,Female,standout,320,1.604,1.1353,1.4792,1.7289
Moderate,Hawaiian/Pacific Islander,Female,ability,320,2.1493,1.5701,1.9766,2.3219
Moderate,Hawaiian/Pacific Islander,Female,grindstone,320,2.0055,1.4755,1.8432,2.1678
Moderate,Hawaiian/Pacific Islander,Female,communal,320,5.3213,1.9917,5.1022,5.5403
Moderate,Hawaiian/Pacific Islander,Female,agentic,320,6.5871,1.9757,6.3698,6.8044
Moderate,Hawaiian/Pacific Islander,Female,competitive,320,2.7985,1.5163,2.6318,2.9653
Moderate,Hawaiian/Pacific Islander,Male,standout,320,1.6496,1.2077,1.5168,1.7824
Moderate,Hawaiian/Pacific Islander,Male,ability,320,2.0465,1.5492,1.8761,2.2169
Moderate,Hawaiian/Pacific Islander,Male,grindstone,320,1.6772,1.436,1.5193,1.8352
Moderate,Hawaiian/Pacific Islander,Male,communal,320,5.1489,1.915,4.9382,5.3595
Moderate,Hawaiian/Pacific Islander,Male,agentic,320,6.3119,1.9393,6.0986,6.5252
Moderate,Hawaiian/Pacific Islander,Male,competitive,320,2.7838,1.5731,2.6108,2.9568
Moderate,Hawaiian/Pacific Islander,Nonbinary,standout,320,1.6412,1.2375,1.5051,1.7773
Moderate,Hawaiian/Pacific Islander,Nonbinary,ability,320,2.2447,1.6202,2.0665,2.4229
Moderate,Hawaiian/Pacific Islander,Nonbinary,grindstone,320,1.4869,1.3904,1.3339,1.6398
Moderate,Hawaiian/Pacific Islander,Nonbinary,communal,320,5.2295,1.8698,5.0239,5.4352
Moderate,Hawaiian/Pacific Islander,Nonbinary,agentic,320,6.3762,2.0208,6.1539,6.5984
Moderate,Hawaiian/Pacific Islander,Nonbinary,competitive,320,2.8567,1.4769,2.6943,3.0191
Moderate,Hispanic/Latinx,Female,standout,320,1.6923,1.2495,1.5549,1.8298
Moderate,Hispanic/Latinx,Female,ability,320,2.0363,1.6285,1.8572,2.2154
Moderate,Hispanic/Latinx,Female,grindstone,320,2.0748,1.4713,1.913,2.2366
Moderate,Hispanic/Latinx,Female,communal,320,5.3704,1.8981,5.1617,5.5792
Moderate,Hispanic/Latinx,Female,agentic,320,6.6388,1.9592,6.4234,6.8543
Moderate,Hispanic/Latinx,Female,competitive,320,3.0786,1.6476,2.8974,3.2598
Moderate,Hispanic/Latinx,Male,standout,320,1.5105,1.1592,1.3831,1.638
Moderate,Hispanic/Latinx,Male,ability,320,2.165,1.5748,1.9918,2.3382
Moderate,Hispanic/Latinx,Male,grindstone,320,1.8576,1.3912,1.7046,2.0106
Moderate,Hispanic/Latinx,Male,communal,320,5.4159,1.9164,5.2052,5.6267
Moderate,Hispanic/Latinx,Male,agentic,320,6.3167,1.8477,6.1135,6.5199
Moderate,Hispanic/Latinx,Male,competitive,320,2.9543,1.6444,2.7734,3.1351
Moderate,Hispanic/Latinx,Nonbinary,standout,320,1.6366,1.224,1.502,1.7712
Moderate,Hispanic/Latinx,Nonbinary,ability,320,2.312,1.6375,2.1319,2.4921
Moderate,Hispanic/Latinx,Nonbinary,grindstone,320,1.5934,1.3343,1.4466,1.7401
Moderate,Hispanic/Latinx,Nonbinary,communal,320,5.2621,1.9393,5.0488,5.4754
Moderate,Hispanic/Latinx,Nonbinary,agentic,320,6.5225,2.0034,6.3022,6.7429
Moderate,Hispanic/Latinx,Nonbinary,competitive,320,2.8327,1.6011,2.6566,3.0088
Moderate,White,Female,standout,320,1.6564,1.1635,1.5285,1.7844
Moderate,White,Female,ability,320,2.1627,1.6955,1.9762,2.3492
Moderate,White,Female,grindstone,320,1.9479,1.4484,1.7886,2.1072
Moderate,White,Female,communal,320,5.4781,2.071,5.2504,5.7059
Moderate,White,Female,agentic,320,6.5366,1.9488,6.3223,6.751
Moderate,White,Female,competitive,320,3.0451,1.5402,2.8757,3.2145
Moderate,White,Male,standout,320,1.5422,1.1083,1.4203,1.6641
Moderate,White,Male,ability,320,2.1654,1.642,1.9848,2.346
Moderate,White,Male,grindstone,320,1.9755,1.4757,1.8132,2.1378
Moderate,White,Male,communal,320,5.1082,1.8253,4.9075,5.309
Moderate,White,Male,agentic,320,6.6617,2.0264,6.4388,6.8845
Moderate,White,Male,competitive,320,3.0099,1.5402,2.8406,3.1793
Moderate,White,Nonbinary,standout,320,1.5517,1.1761,1.4223,1.681
Moderate,White,Nonbinary,ability,320,2.2271,1.536,2.0581,2.396
Moderate,White,Nonbinary,grindstone,320,1.6466,1.3122,1.5022,1.7909
Moderate,White,Nonbinary,communal,320,5.3498,2.0381,5.1257,5.574
Moderate,White,Nonbinary,agentic,320,6.8338,2.0297,6.6105,7.057
Moderate,White,Nonbinary,competitive,320,2.9143,1.6023,2.7381,3.0905
Combined,Asian,Female,standout,640,2.0891,1.3522,1.9841,2.194
Combined,Asian,Female,ability,640,2.0696,1.5457,1.9496,2.1896
Combined,Asian,Female,grindstone,640,1.6924,1.4166,1.5825,1.8024
Combined,Asian,Female,communal,640,5.9286,1.9407,5.7779,6.0792
Combined,Asian,Female,agentic,640,6.6861,2.0519,6.5268,6.8454
Combined,Asian,Female,competitive,640,3.1943,1.603,3.0699,3.3188
